file,bytes,sha256
CAPTIONS.txt,3015,10fb4b524317a7f633dd869a8e97da77540e389e836c9e0342eba39cb4552143
FIGURE_LIST.csv,2445,e852738d8b8caa62981a4f1247c12ca4c2d6dd5380423feb0e2bb126f9ae8780
SHA256.csv,2665,9109a51452f34d0faacdfca78248472af5d11fc2c698defacf42b091a7b2fa24
TABLE_LIST.csv,1528,6a6cbcad5e8748dcef1a7b2e67b3620591af7b459e55b1ae84cd4bbf4a70d003
figures/Figure_01.png,5091565,06cb7d4341a44d0c0a82269c88d08bfec3bae3a7e18b847f7aa6b19f9d6ca59d
figures/Figure_01_1200dpi.tif,8084072,4d13655efadfa8ae9a21a56ef9a688e767779edcb8bd6cfd1a344d7a24aa1cd4
figures/Figure_02.pdf,29364,185f00c769068d7762706be4aed7578906938a50f2664367a5c08f570991091c
figures/Figure_02.png,258277,d4de1e323b58c99469d818e0b8f23b1321c70b0404c832f6f31a6a404c9db390
figures/Figure_02_1200dpi.tif,826070,854a780be015d43569572350f161eaaae5d13cd82ae4f25e4520a6a46c6e377f
figures/Figure_03.pdf,30711,0f58822ecb234ae755c199596c33e417527cd6e801954f8bf4402c58df5057ab
figures/Figure_03.png,244354,e06f5785e0b8f71ce7c1fed0fe88497cd57344b8c3eaa3f6bdc3fdc837213fee
figures/Figure_03_1200dpi.tif,599432,2600b92e0afc359dd609ef5af9cad799d53fdc3f5f4ae7cce2f8973591432d88
figures/Figure_04.pdf,27250,648091d3bbb3af382447d2d77d0d3ac9ece7c788e974f69acd2611f5a6a89916
figures/Figure_04.png,318853,91f406c53597ff07a9d9fdfa1c0d99538e4e3dc251e111382a44435aa52497e1
figures/Figure_04_1200dpi.tif,659190,5a27d08850fc7ddf147a427b4417a69a29cc17d42b19fe457681860341332968
figures/Figure_05.pdf,35554,92f7814909f344154db4183b80ca8739ea5e546168018e53828f80b4eb504b06
figures/Figure_05.png,299698,1ca220ed25e0c439d22a3299fac46fde909e54688b96a0bb7b2c18c9f5b86f49
figures/Figure_05_1200dpi.tif,749264,606f6ad68d5afe8f5e77b482ec80300f3a5787c092b6f3730fa42b06fdb35f21
figures/Figure_S1.pdf,29341,0652464e64b0f52feb5878454a548ad43021e2e18bbb43cdae7e993a3f746ce2
figures/Figure_S1.png,258529,2d524146c0c634ba966a7748ca017b486c22a7732456cac63fef46cb80bce605
figures/Figure_S1_1200dpi.tif,768734,b4e37950000d806a7aeca265bc2c4895a768d0919b67a64bd0af72222fb96852
manifest.json,329,bda0e9d8dca478a7f765880cbbe4322a0a4e1695e5ef5a6f85cc6ab8eb5217b3
tables/Main_Tables.xlsx,10175,9ec58ed775b04019864425ef938e28572a4145886c3af61ed34f7be3aecfc8b4
tables/Paper2_Supplementary_ARCHIVE.xlsx,972248,bf2795ea5f725bf3f5fc28813584dcd7a44312c056cb38187ce9b4afd88f03ed
tables/Paper2_Supplementary_FINAL.xlsx,971578,3c3e9e04f19e09f0b4d4e421cc97f6ea04a4302e9cf5cba028bb8d27628a2a90
tables/Table_01.tsv,1350,a4ca9bf7a1d62635def18661bf7f8caac4e91190397af9b460eec170cccb6e71
tables/Table_02.tsv,1801,148716799feecc68136d1e49287a54d72efb3c4c01d493032fe4be5b58e2b341
tables/Table_03.tsv,1214,11368c1857f807e31205ee27d05674f769030ae17b2ba90d830b06f480880057
